evaluation,best_f
175,-278.42995656938956
176,-278.42995656938956
177,-278.42995656938956
178,-278.42995656938956
179,-278.42995656938956
180,-278.42995656938956
181,-278.42995656938956
182,-278.42995656938956
183,-278.42995656938956
184,-278.42995656938956
185,-278.42995656938956
186,-278.42995656938956
187,-278.42995656938956
188,-278.42995656938956
189,-278.42995656938956
190,-278.42995656938956
191,-278.42995656938956
192,-278.42995656938956
193,-278.42995656938956
194,-278.42995656938956
195,-278.42995656938956
196,-278.42995656938956
197,-278.42995656938956
198,-278.42995656938956
199,-278.42995656938956
200,-278.42995656938956
201,-278.42995656938956
202,-278.42995656938956
203,-278.42995656938956
204,-278.42995656938956
205,-278.42995656938956
206,-278.42995656938956
207,-278.42995656938956
208,-278.42995656938956
209,-278.42995656938956
210,-278.42995656938956
211,-278.42995656938956
212,-278.42995656938956
213,-278.42995656938956
214,-278.42995656938956
215,-278.42995656938956
216,-278.42995656938956
217,-278.42995656938956
218,-278.42995656938956
219,-278.42995656938956
220,-278.42995656938956
221,-278.42995656938956
222,-278.42995656938956
223,-278.42995656938956
224,-278.42995656938956
225,-278.42995656938956
226,-278.42995656938956
227,-278.42995656938956
228,-278.42995656938956
229,-278.42995656938956
230,-278.42995656938956
231,-278.42995656938956
232,-278.42995656938956
233,-278.42995656938956
234,-278.42995656938956
235,-278.42995656938956
236,-278.42995656938956
237,-278.42995656938956
238,-278.42995656938956
239,-278.42995656938956
240,-278.42995656938956
241,-278.42995656938956
242,-278.42995656938956
243,-278.42995656938956
244,-278.42995656938956
245,-278.42995656938956
246,-278.42995656938956
247,-278.42995656938956
248,-278.42995656938956
249,-278.42995656938956
250,-278.42995656938956
251,-278.42995656938956
252,-278.42995656938956
253,-278.42995656938956
254,-278.42995656938956
255,-278.42995656938956
256,-278.42995656938956
257,-278.42995656938956
258,-278.42995656938956
259,-278.42995656938956
260,-278.42995656938956
261,-278.42995656938956
262,-278.42995656938956
263,-278.42995656938956
264,-278.42995656938956
265,-278.42995656938956
266,-278.42995656938956
267,-278.42995656938956
268,-278.42995656938956
269,-278.42995656938956
270,-278.42995656938956
271,-278.42995656938956
272,-278.42995656938956
273,-278.42995656938956
274,-278.42995656938956
275,-278.42995656938956
276,-278.42995656938956
277,-278.42995656938956
278,-278.42995656938956
279,-278.42995656938956
280,-278.42995656938956
281,-278.42995656938956
282,-278.42995656938956
283,-278.42995656938956
284,-278.42995656938956
285,-278.42995656938956
286,-278.42995656938956
287,-278.42995656938956
288,-278.42995656938956
289,-278.42995656938956
290,-278.42995656938956
291,-278.42995656938956
292,-278.42995656938956
293,-278.42995656938956
294,-278.42995656938956
295,-278.42995656938956
296,-278.42995656938956
297,-278.42995656938956
298,-278.42995656938956
