evaluation,best_f
121,25.717747619267442
122,25.717747619267442
123,25.717747619267442
124,25.717747619267442
125,25.717747619267442
126,25.717747619267442
127,25.717747619267442
128,25.717747619267442
129,25.717747619267442
130,25.717747619267442
131,25.717747619267442
132,25.717747619267442
133,25.717747619267442
134,25.717747619267442
135,25.717747619267442
136,25.717747619267442
137,25.717747619267442
138,25.717747619267442
139,25.717747619267442
140,25.717747619267442
141,25.717747619267442
142,25.717747619267442
143,25.717747619267442
144,25.717747619267442
145,25.717747619267442
146,25.717747619267442
147,25.717747619267442
148,25.717747619267442
149,25.717747619267442
150,25.717747619267442
151,25.717747619267442
152,25.717747619267442
153,25.717747619267442
154,25.717747619267442
155,25.717747619267442
156,25.717747619267442
157,25.717747619267442
158,25.717747619267442
159,25.717747619267442
160,25.717747619267442
161,25.717747619267442
162,25.717747619267442
163,25.717747619267442
164,25.717747619267442
165,25.717747619267442
166,25.717747619267442
167,25.717747619267442
168,25.717747619267442
169,25.717747619267442
170,25.717747619267442
171,25.717747619267442
172,25.717747619267442
173,25.717747619267442
174,25.717747619267442
175,25.717747619267442
176,25.717747619267442
177,25.717747619267442
178,25.717747619267442
179,25.717747619267442
180,25.717747619267442
181,37.00598463263864
182,37.00598463263864
183,37.00598463263864
184,37.00598463263864
185,37.00598463263864
186,37.00598463263864
187,37.00598463263864
188,37.00598463263864
189,37.00598463263864
190,37.00598463263864
191,37.00598463263864
192,37.00598463263864
193,37.00598463263864
194,37.00598463263864
195,37.00598463263864
196,37.00598463263864
197,37.00598463263864
198,37.00598463263864
199,37.00598463263864
200,37.00598463263864
201,37.00598463263864
202,37.00598463263864
203,37.00598463263864
204,37.00598463263864
205,37.00598463263864
206,37.00598463263864
207,37.00598463263864
208,37.00598463263864
209,37.00598463263864
210,37.00598463263864
211,37.00598463263864
212,37.00598463263864
213,37.00598463263864
214,37.00598463263864
215,37.00598463263864
216,37.00598463263864
217,37.00598463263864
218,37.00598463263864
219,37.00598463263864
220,37.00598463263864
221,37.00598463263864
222,37.00598463263864
223,37.00598463263864
224,37.00598463263864
225,37.00598463263864
226,37.00598463263864
227,37.00598463263864
228,37.00598463263864
229,37.00598463263864
230,37.00598463263864
231,37.00598463263864
232,37.00598463263864
233,59.50315564093111
234,59.50315564093111
235,59.50315564093111
236,59.50315564093111
237,59.50315564093111
238,59.50315564093111
239,59.50315564093111
240,59.50315564093111
241,59.50315564093111
242,59.50315564093111
243,59.50315564093111
244,59.50315564093111
245,59.50315564093111
246,59.50315564093111
247,59.50315564093111
248,59.50315564093111
249,59.50315564093111
250,59.50315564093111
251,59.50315564093111
252,59.50315564093111
253,59.50315564093111
254,59.50315564093111
255,59.50315564093111
256,59.50315564093111
